Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week
2020-02-28,2959.719970703125,2855.840087890625,2916.89990234375,2954.219970703125,8563850000,2954.219970703125,2,28,4
2020-03-02,3090.9599609375,2945.18994140625,2974.280029296875,3090.22998046875,6376400000,3090.22998046875,3,2,0
2020-03-03,3136.719970703125,2976.6298828125,3096.4599609375,3003.3701171875,6355940000,3003.3701171875,3,3,1
2020-03-04,3130.969970703125,3034.3798828125,3045.75,3130.1201171875,5035480000,3130.1201171875,3,4,2
2020-03-05,3083.0400390625,2999.830078125,3075.699951171875,3023.93994140625,5575550000,3023.93994140625,3,5,3
2020-03-06,2985.929931640625,2901.5400390625,2954.199951171875,2972.3701171875,6552140000,2972.3701171875,3,6,4
2020-03-09,2863.889892578125,2734.429931640625,2863.889892578125,2746.56005859375,8423050000,2746.56005859375,3,9,0
2020-03-10,2882.590087890625,2734.0,2813.47998046875,2882.22998046875,7635960000,2882.22998046875,3,10,1
2020-03-11,2825.60009765625,2707.219970703125,2825.60009765625,2741.3798828125,7374110000,2741.3798828125,3,11,2
2020-03-12,2660.949951171875,2478.860107421875,2630.860107421875,2480.639892578125,8829380000,2480.639892578125,3,12,3
2020-03-13,2711.330078125,2492.3701171875,2569.989990234375,2711.02001953125,8258670000,2711.02001953125,3,13,4
2020-03-16,2562.97998046875,2380.93994140625,2508.590087890625,2386.1298828125,7781540000,2386.1298828125,3,16,0
2020-03-17,2553.929931640625,2367.0400390625,2425.659912109375,2529.18994140625,8358500000,2529.18994140625,3,17,1
2020-03-18,2453.570068359375,2280.52001953125,2436.5,2398.10009765625,8755780000,2398.10009765625,3,18,2
2020-03-19,2466.969970703125,2319.780029296875,2393.47998046875,2409.389892578125,7946710000,2409.389892578125,3,19,3
2020-03-20,2453.010009765625,2295.56005859375,2431.93994140625,2304.919921875,9044690000,2304.919921875,3,20,4
2020-03-23,2300.72998046875,2191.860107421875,2290.7099609375,2237.39990234375,7402180000,2237.39990234375,3,23,0
2020-03-24,2449.7099609375,2344.43994140625,2344.43994140625,2447.330078125,7547350000,2447.330078125,3,24,1
2020-03-25,2571.419921875,2407.530029296875,2457.77001953125,2475.56005859375,8285670000,2475.56005859375,3,25,2
2020-03-26,2637.010009765625,2500.719970703125,2501.2900390625,2630.070068359375,7753160000,2630.070068359375,3,26,3
2020-03-27,2615.909912109375,2520.02001953125,2555.8701171875,2541.469970703125,6194330000,2541.469970703125,3,27,4
2020-03-30,2631.800048828125,2545.280029296875,2558.97998046875,2626.64990234375,5746220000,2626.64990234375,3,30,0
2020-03-31,2641.389892578125,2571.14990234375,2614.68994140625,2584.590087890625,6568290000,2584.590087890625,3,31,1
2020-04-01,2522.75,2447.489990234375,2498.080078125,2470.5,5947900000,2470.5,4,1,2
2020-04-02,2533.219970703125,2455.7900390625,2458.5400390625,2526.89990234375,6454990000,2526.89990234375,4,2,3
2020-04-03,2538.179931640625,2459.9599609375,2514.919921875,2488.64990234375,6087190000,2488.64990234375,4,3,4
2020-04-06,2676.85009765625,2574.570068359375,2578.280029296875,2663.679931640625,6391860000,2663.679931640625,4,6,0
2020-04-07,2756.889892578125,2657.669921875,2738.64990234375,2659.409912109375,7040720000,2659.409912109375,4,7,1
2020-04-08,2760.75,2663.300048828125,2685.0,2749.97998046875,5856370000,2749.97998046875,4,8,2
2020-04-09,2818.570068359375,2762.360107421875,2776.989990234375,2789.820068359375,7880140000,2789.820068359375,4,9,3
2020-04-13,2782.4599609375,2721.169921875,2782.4599609375,2761.6298828125,5274310000,2761.6298828125,4,13,0
2020-04-14,2851.85009765625,2805.10009765625,2805.10009765625,2846.06005859375,5567400000,2846.06005859375,4,14,1
2020-04-15,2801.8798828125,2761.5400390625,2795.639892578125,2783.360107421875,5203390000,2783.360107421875,4,15,2
2020-04-16,2806.510009765625,2764.320068359375,2799.340087890625,2799.550048828125,5179990000,2799.550048828125,4,16,3
2020-04-17,2879.219970703125,2830.8798828125,2842.429931640625,2874.56005859375,5792140000,2874.56005859375,4,17,4
2020-04-20,2868.97998046875,2820.429931640625,2845.6201171875,2823.159912109375,5220160000,2823.159912109375,4,20,0
2020-04-21,2785.5400390625,2727.10009765625,2784.81005859375,2736.56005859375,5075830000,2736.56005859375,4,21,1
2020-04-22,2815.10009765625,2775.949951171875,2787.889892578125,2799.31005859375,5049660000,2799.31005859375,4,22,2
2020-04-23,2844.89990234375,2794.260009765625,2810.419921875,2797.800048828125,5756520000,2797.800048828125,4,23,3
2020-04-24,2842.7099609375,2791.760009765625,2812.639892578125,2836.739990234375,5374480000,2836.739990234375,4,24,4
2020-04-27,2887.719970703125,2852.889892578125,2854.64990234375,2878.47998046875,5194260000,2878.47998046875,4,27,0
2020-04-28,2921.14990234375,2860.7099609375,2909.9599609375,2863.389892578125,5672880000,2863.389892578125,4,28,1
2020-04-29,2954.860107421875,2912.159912109375,2918.4599609375,2939.510009765625,6620140000,2939.510009765625,4,29,2
2020-04-30,2930.909912109375,2892.469970703125,2930.909912109375,2912.429931640625,6523120000,2912.429931640625,4,30,3
